words,em,light,sound,properties
focal,0.0,2.102149037119732,0.0,0.0
find,0.0,0.0,0.0,0.0
result,0.0,0.0,1.456967759126032,0.0
close,0.0,0.6095450739603684,0.0,0.0
floor,0.0,0.0,0.0,2.076923076923077
oscilloscope,0.0,0.0,2.0474287236877164,0.0
decrease,0.0,0.049492976090799,0.3213429256594723,0.0
student,0.0,0.09408063329358327,0.5051312485365242,0.0
friend,0.0,0.0,0.4284572342126296,0.0
loudness,0.0,0.0,4.0,0.0
unit,0.0,0.0,0.0,1.1863905325443784
enter,0.0,0.7504574068905633,0.0,0.185733070348455
calculation,0.0,0.0,1.4239275246469487,0.0
fall,0.0,0.0290259559028744,0.0,0.0
loud,0.0,0.0,2.8052224886757258,0.0
density,0.0,1.5182807703042145,0.0,0.0
emit,0.0,0.0,2.3725019984012787,0.0
identical,0.0,1.7460228858498468,0.0,0.0
produce,0.0,0.0,0.47053715052649214,0.01731317115932499
microphone,0.0,0.0,2.928856914468425,0.0
vibrating,0.0,0.0,3.045030642152944,0.0
short,0.0,0.0,0.9677591260325072,0.0
yes,0.0,0.3594753000279092,0.0,0.0
characteristic,0.0,1.3162154619034327,0.0,0.0
clap,0.0,0.0,1.0562216893152143,0.0
six,0.0,0.0,0.0,0.0
motion,0.0,0.0,2.8414601652011724,0.0
incident,0.0,0.6776444320401896,0.0,0.0
triangular,0.0,3.5947530002790957,0.0,0.0
lamp,0.0,1.2123918504046884,0.0,0.3450032873109796
displacement,0.0,0.0,0.6048357894880675,2.0458579881656807
curve,0.0,0.1441728798692237,0.0,1.565511411665258
mean,0.0,0.0,0.472155608846256,0.0
fourth,0.0,0.0,0.7226219024780172,0.0
emergency,0.0,0.0,0.8846256328270716,0.0
vertical,0.0,0.0,0.0,3.5517751479289945
bed,0.0,0.0,0.3197442046362908,0.0
band,0.0,0.0,1.2533972821742605,0.0
surface,0.0,0.4303656154060842,0.0,1.2438362919132149
substance,0.0,0.8596148478928268,0.0,0.09471938318092167
would,0.0,0.0,0.0,0.0
must,0.0,0.0,0.0,0.0
pond,0.0,0.0,0.0,2.7677514792899407
transfer,0.0,0.0,0.9176658673061548,0.0
material,0.0,0.0,1.6083133493205433,0.0
bat,0.0,0.0,1.0391686650679453,0.0
direction,0.0,0.2057865847985859,0.1804778399502619,1.4240631163708086
number,0.0,0.0,0.0552446931343812,0.2236193293885602
volcano,0.0,0.0,1.0317079669597653,0.0
large,0.0,0.0,0.647482014388489,0.0
climber,0.0,0.0,0.9421795896616036,0.0
line,0.0,0.0,0.0,2.3639053254437874
every,0.0,0.0,0.0,0.0
disperse,0.0,1.5071169411108012,0.0,0.0
cliff,0.0,0.0,0.0,0.0
magnify,0.0,2.469439017583031,0.0,0.0
sin,0.0,0.7546748534747416,0.0,0.0
hear,0.0,0.0,2.416200373034905,0.0
explain,0.0,0.0,1.455901945110578,0.0
view,0.0,0.0,0.0,2.1213017751479293
axis,0.0,2.1802958414736255,0.0,0.0
ripple,0.0,0.0,0.0,2.560650887573965
higher,0.0,0.0,0.4071409539035436,0.0
index,0.0,0.9176667596985764,0.0,0.0
protect,0.0,0.0,0.0,0.1114398422090728
smaller,0.0,0.0,1.1009858779642951,0.0
minute,0.0,0.0,0.0,0.0
temperature,0.0,0.4695506558749651,0.0,0.4913214990138068
normal,0.0,0.072099730207461,0.26618705035971213,0.0
shirt,0.0,0.4499023164945576,0.0,0.0
person,0.0,0.0,0.964561683986144,0.0
form,0.0,1.5026514094334356,0.0,0.0
clapping,0.0,0.0,1.5784705568878228,0.0
solid,0.0,0.0,0.2664535038635756,0.0
block,0.0,0.3336970035267549,0.16084102415037652,0.0
image,0.0,2.4147362545353057,0.0,0.0
energy,0.0,0.0,2.1817212896349583,0.0
yellow,0.0,1.4937203460787047,0.0,0.0
two,0.0,0.0,0.0,0.0
ring,0.0,0.0,0.288835598188116,0.0
third,0.0,0.0,0.0,0.0
harbour,0.0,0.0,0.0,1.5883714947260097
whistle,0.0,0.0,1.990940580868638,0.0
remain,0.0,0.0,0.0,0.0532544378698224
fix,0.0,0.0,0.0,1.0399408284023668
bottom,0.0,0.0,0.0,0.0
scale,0.0,0.00279095729835335,0.9769961808331112,0.019723865877712
police,0.0,0.0,0.4551025845989872,0.0
show,0.0,0.0,0.0,0.0
colour,0.0,2.8411945297236954,0.0,0.0
allow,0.0,0.7747697460228856,0.0,0.0
orbit,0.0,0.0,0.724753530508926,0.0
rise,0.0,0.499023164945576,0.0,0.0
erupt,0.0,0.0,0.682120969890754,0.0
set,0.0,0.0,0.2387423394617636,0.0
part,0.0,0.0,0.0,0.0
position,0.0,0.40520565220537286,0.0,0.19575936883629186
boat,0.0,0.0,0.0,1.3594031386673529
double,0.0,0.0,0.0,0.7988165680473372
upright,0.0,1.0181412224392967,0.0,0.0
formula,0.0,1.9927435110242813,0.0,0.0
state,0.0,0.1295004186435946,0.0795807798205878,0.0
molecule,0.0,0.0,2.55369038102851,0.0
pump,0.0,0.0,0.9485744737543296,0.0
