words,0,1,2,3,4
quantity,0.0,0.285923620212611,0.0,0.8156577885391443,0.0
automatically,0.7366027288906465,0.0,0.0,0.0,0.0
evening,0.7277041724342495,0.0,0.0,0.0,0.0
inside,0.10715345066244801,0.0,0.0,1.056779661016949,0.0
result,0.08546321929998026,0.12885448521916398,0.2151998597475455,0.0,0.0
series,0.7049634170456789,0.0,0.0,0.0,0.0
movement,0.0,0.0,0.0,0.622222222222222,0.19321171346012844
repulsion,0.6772790191813325,0.0,0.0,0.0,0.0
uninsulated,0.6762902906861774,0.0,0.0,0.0,0.0
unit,0.3422236503856039,0.0,0.0,0.0,0.22407491266658036
particle,0.0,0.0,0.0,0.23750190868834936,0.05617663205966996
nature,0.05748749964688257,0.0,0.0,0.0,0.6853594070569099
secondary,0.6308087799090365,0.0,0.0,0.0,0.0
hazard,0.618944037967174,0.0,0.0,0.0,0.0
earth,0.0,0.6211773700305809,0.0,0.0217514124293785,0.06533833613662825
attraction,0.6080680245204665,0.0,0.0,0.0,0.0
horseshoe,0.6070792960253111,0.0,0.0,0.0,0.0
melt,0.0062784259442357,0.0,0.0,1.8818079096045195,0.0
live,0.5793948981609645,0.0,0.0,0.0,0.0
carry,0.19403796717421376,0.16524910805300713,0.0,0.0,0.0
steel,0.29818403533056487,0.0,0.0,0.14048964218455734,0.0
set,0.14546667984971323,0.5737130479102958,0.0,0.0,0.0
depend,0.532924658888669,0.0,0.0,0.0,0.0
position,0.0,0.1456846755011892,0.0,0.06012241054613933,0.12625609177556393
field,0.16758947992881149,0.4160295616717634,0.0,0.0,0.0
iron,0.0739957343427779,0.0,0.0,0.374455205811138,0.0
spring,0.15267615846022,0.05372918790349966,0.0,0.0,0.0
vacuum,0.0,0.0,0.0,1.0715254237288137,0.419588562556605
row,0.0,0.0290360601427115,0.0,0.0,0.518566438090309
increase,0.0,0.08845565749235473,0.0,0.42955932203389857,0.00925087333419585
certain,0.0492881154834882,0.0,0.1048387096774192,0.0,0.1205848104541336
stop,0.17228594028079874,0.08303601766904517,0.0,0.0,0.0
nickel,0.450860193790785,0.0,0.0,0.0,0.0
diameter,0.442950365829543,0.0,0.0,0.0,0.0
protrude,0.4409729088392325,0.0,0.0,0.0,0.0
material,0.18311251730274852,0.0,0.12599345488546038,0.0,0.0
pin,0.056463459419757424,0.048875054608999526,0.0,0.073870056497175,0.0
wood,0.4113110539845755,0.0,0.0,0.0,0.0
close,0.08620476567134662,0.0,0.0591690042075735,0.0,0.0
rod,0.21678724608429414,0.0,0.0,0.01639392168322605,0.0
place,0.012206994113262573,0.0,0.0,0.17979139504563227,0.08852772276242322
correct,0.0,0.0,0.03532989816452212,0.020510930975190328,0.08319879392688175
state,0.010134467075341089,0.0,0.0,0.23020030816640957,0.036491842999799996
act,0.13755685188847125,0.14382645259938825,0.0,0.0,0.0
experience,0.006921099466086499,0.8005224260958201,0.0,0.0,0.0
halve,0.3332015028673125,0.0,0.0,0.0,0.0
right,0.0397468855052402,0.0,0.0,0.3952542372881356,0.0
sensitive,0.322325489420605,0.0,0.0,0.0,0.0
central,0.28277634961439546,0.0,0.0,0.0,0.0
negatively,0.28079889262408503,0.0,0.0,0.0,0.0
statement,0.0,0.0,0.0,0.052259887005649625,0.08463794367533534
line,0.023235119636147834,0.0,0.0,0.0,0.32313365247768133
outer,0.021690231362467876,0.0,0.0,0.25614406779661014,0.0
bar,0.0936511271504843,0.0,0.0,0.082909604519774,0.0
time,0.0,0.16703230953330656,0.0,0.14437484647506751,0.0
final,0.206644255487443,0.0,0.0,0.0,0.0
pair,0.198734427526201,0.0,0.0,0.0,0.0
correctly,0.0,0.0,0.16275128564749874,0.0,0.5487449864148013
small,0.0,0.0,0.0,0.2911173885750157,0.0
remain,0.0,0.0,0.1285647498831229,0.14877589453860632,0.0
original,0.17401621514732052,0.0,0.0,0.0,0.0
strong,0.160174016215147,0.0,0.0,0.0,0.0
second,0.01405713990938087,0.0,0.0,0.0,0.1348956780504817
leave,4.1197020631466254e-05,0.0,0.0,0.0933145009416195,0.029218958899383165
left,0.0004943642475776,0.0,0.0,0.468926553672316,0.0
represent,0.00583349812141585,0.0,0.053997194950911605,0.0,0.0
rub,0.0939292070397465,0.0,0.0,0.0,0.0
pass,0.0,0.0,0.0,0.1234463276836158,0.0
value,0.0,0.0,0.24193548387096775,0.0,0.0
primary,0.073165908641487,0.0,0.0,0.0,0.0
bare,0.053391338738382,0.0,0.0,0.0,0.0
force,0.0,0.6361680757930079,0.0,0.031239614489863732,0.0
wish,0.0,0.010910423037716499,0.0,0.22718926553672314,0.0
cause,0.0,0.0,0.0,0.13860640301318267,0.0
stationary,0.0,0.0,0.0,0.0,0.0
usually,0.0,0.0,0.0,0.0,0.0
number,0.0,0.0,0.21701942283989953,0.0,0.035315635328573604
happen,0.0,0.0,0.0,0.419774011299435,0.0
great,0.0,0.01926305690471906,0.0,0.03188767032236623,0.0
gold,0.0,0.0,0.0,0.0,0.0
soft,0.0,0.0,0.0,0.0,0.0
repeatedly,0.0,0.0,0.0,0.0,0.0
blow,0.0,0.0,0.0,0.0,0.0
hard,0.0,0.0,0.0,0.0,0.0
near,0.0,0.0,0.0,0.0,0.0
large,0.0,0.07622092484477803,0.0,0.0,0.0
steady,0.0,0.0,0.0,0.151412429378531,0.0
freely,0.0,0.0,0.0,0.0,0.0
core,0.0,0.0,0.0,0.0,0.0
constantly,0.0,0.0,0.0,0.031638418079096,0.0
zero,0.0,0.13591573224600734,0.0,0.0,0.0
slowly,0.0,0.0,0.0,0.3877966101694914,0.0
hand,0.0,0.0,0.0,0.0,0.0
miss,0.0,0.0,0.0,0.0,0.09024453357484763
either,0.0,0.0,0.0,0.0,0.0
heavy,0.0,2.201834862385321,0.0,0.0,0.0
reflect,0.0,0.0,0.0,0.0,2.4543925475481947
