words,density,energy,forces,mass and weight,moments,momentum,motion
indicate,0.0,2.3993893977241183,0.0,0.0,0.0,0.0,0.0
hill,0.0,2.523730224812655,0.0,0.0,0.0,0.0,0.0
nuclear,0.0,3.691368304190952,0.0,0.0,0.0,0.0,0.0
pair,0.0,0.6450180405217871,0.0,0.0,0.0,0.0,0.0
chemical,0.0,4.379128504024424,0.0,0.0,0.0,0.0,0.0
wind,0.0,4.676380793782959,0.0,0.0,0.0,0.0,0.0
obtain,0.0,1.220580072162087,0.42308832922711914,0.0,0.0,0.0,0.0
whether,0.0,0.0,0.0,0.0,0.0,0.0,0.0
rock,0.0,0.0677213433250069,0.0,0.5722660003843936,0.0,0.0,0.5865094598299971
overtake,0.0,0.0,0.0,0.0,0.0,0.0,5.91746641074856
small,0.0,0.0,0.0,0.843282721506823,0.052833736234219636,0.0,0.03800383877159296
key,0.0,1.2278656674993058,0.0,0.0,0.0,0.0,0.0
echo,0.0,0.0,0.0,0.0,0.0,0.0,0.898272552783109
equation,0.0,1.2438400098683193,0.0,0.0,1.053749962694362,0.0,0.0
pick,0.0,0.0,0.0,0.0,0.0,0.0,0.261036468330134
momentarily,0.0,0.0,0.0,0.0,0.0,0.0,0.0
distance,0.0,0.7219523853578808,0.0,0.0,0.004342376219894331,0.0,3.327163878987294
sheet,0.0,0.0,0.0,0.0,1.917808219178082,0.0,0.0
heat,0.0,2.3741326672217595,0.0,0.0,0.0,0.0,0.0
moving,0.0,3.555370524562864,0.0,0.0,0.0,0.0,0.0
fuel,0.0,4.6161532056619485,0.0,0.0,0.0,0.0,0.0
stop,0.0,0.3525148795756621,0.0,0.0,0.14665592264302954,0.0,0.7274472168905949
descent,0.0,3.7885095753538716,0.0,0.0,0.0,0.0,0.0
available,0.0,0.0,0.0,0.0,0.0,0.0,0.0
without,0.0,0.0,0.0,0.0,0.0,0.0,0.0
form,0.0,2.65195670274771,0.0,0.0,0.0,0.0,0.0
situation,0.0,1.5853455453788512,0.0,0.0,0.0,0.0,0.0
van,0.0,0.0,0.0,0.0,0.0,0.0,2.4318618042226485
ski,0.0,5.410768803774633,0.0,0.0,0.0,0.0,0.0
output,0.0,3.0929780738273656,0.0,0.0,0.0,0.0,0.0
unit,0.0,0.5838190396891478,0.0,1.952142994426293,0.0,0.0,0.0
town,0.0,0.0,0.0,0.07769556025369978,0.0,0.0,1.1465131158029427
plot,0.0,0.0,2.1212701888858474,0.0,0.0,0.0,0.0
source,0.0,1.6086594504579514,0.0,0.0,0.0,0.0,0.0
hear,0.0,0.0,0.0,0.0,0.0,0.0,0.9289827255278303
movement,0.0,2.8627532611712456,0.0,0.0,1.7427925508102784,0.0,0.0
thread,0.0,1.2706078268109906,0.0,0.0,0.0,0.0,0.0
slipway,0.0,3.139605883985567,0.0,0.0,0.0,0.0,0.0
else,0.0,0.0,0.0,0.0,0.0,0.0,0.0
shopper,0.0,0.0,0.0,0.0,0.0,0.0,0.8003838771593085
onto,0.0,0.0,0.0,0.0,0.0,0.0,0.0
weigh,0.0,0.6399990748450365,0.0,0.0,2.0857731220342015,0.0,0.0
resistive,0.0,3.26977518734388,0.0,0.0,0.0,0.0,0.0
